NodeId:0	0.740275736738,0.740360492433,1,15,66,96
NodeId:1	1.22773583807,1.22789069727,37,72
NodeId:10	0.890993545695,0.891100913404,38,4,6,67,78,80
NodeId:11	0.648913615166,0.648988903382,28,40,49,51,6,67,89
NodeId:12	0.997061943973,0.997174458821,24,28,50,55,67,85,98
NodeId:13	0.907097682694,0.907202558959,25,32,33,35,76
NodeId:14	0.33007919707,0.330101627406,36,39,44,62,98
NodeId:15	1.21119781957,1.21135106646,47,70,79,95,97
NodeId:16	0.624396491875,0.624466538951,45,52,67,80
NodeId:17	0.552325983536,0.55238147911,18,39,41,53,63,72,79,99
NodeId:18	1.04097626072,1.04109715042,52,61,62,87
NodeId:19	0.882927180939,0.883032843785,27,33,37,45,92
NodeId:2	1.01498152119,1.01510359921,31,63
NodeId:20	1.14984983162,1.14999240101,7,94
NodeId:21	9.06782207786,9.05697591909
NodeId:22	1.04590776172,1.04603667028,25,65,72,83,97
NodeId:23	0.570145509705,0.570205814796,92,99
NodeId:24	1.01891828881,1.01903423889,10,18,38,55,9,93,94
NodeId:25	0.81351768431,0.8136109392,63
NodeId:26	0.83461497424,0.834712826312,15,23,28,64
NodeId:27	1.33206374119,1.33223067452,32,68,70,92
NodeId:28	0.877679099668,0.877781538488,21,25,72
NodeId:29	0.864105946051,0.86421225029,18,23,31,36,86
NodeId:3	0.743097781448,0.743186659796,30,42,45,86
NodeId:30	0.869169212148,0.869268665471,80,84,95
NodeId:31	2.13718723606,2.13747424636,29,36,46,49,54,62,70,85
NodeId:32	0.977575386477,0.977691078301,2,27,3,47,6,69,71,91
NodeId:33	0.995833610948,0.995957578845,2,56,58,86
NodeId:34	0.96770810049,0.967830350851,0,7,77,78
NodeId:35	0.497090933727,0.497134066308,12,18,62,64,65,66,83,91
NodeId:36	0.769585946644,0.769672124787,12,20,30,34,61,75,77,99
NodeId:37	1.31481953463,1.31498821551,40,59,71,97
NodeId:38	1.1620478322,1.16218843565,30,41,98
NodeId:39	1.15263469593,1.15277862698,31,43,68,71,92
NodeId:4	0.741774211555,0.741861785498,24,42,46,86
NodeId:40	0.728115059435,0.728198453896,7,71,72,73
NodeId:41	0.946723481834,0.946832261919,44,45,49,66
NodeId:42	0.57268591199,0.572745272514,36,45,70,89,99
NodeId:43	0.919125152465,0.919240262268,21,24,4,56,67,68,80,86,90
NodeId:44	0.628113765228,0.628179456288,17,37,38
NodeId:45	1.44135143615,1.44153563593,18,53,58,83,86,90
NodeId:46	0.817850736235,0.817948677381,78
NodeId:47	0.511426248472,0.51147747282,14,5,52,70,73
NodeId:48	0.15,0.15,18,39,61,79,89
NodeId:49	1.14294626536,1.14309378335,2,29,31,39,84
NodeId:5	0.480809720475,0.480851871711,2,24,50,61,81,9,98
NodeId:50	0.828069132393,0.828166356593,0,20,46,68
NodeId:51	0.925277172422,0.925390657965,38,45,61,71
NodeId:52	0.842652617864,0.842748290531,27,31,64,91
NodeId:53	0.601889058833,0.60195316406,13,2,65,78,95
NodeId:54	0.681760000267,0.681831820038,12,69,77
NodeId:55	0.681495431564,0.681571438481,10,19,22,25,51,58,62
NodeId:56	0.541586148076,0.541642661366,29,36,80,96,98
NodeId:57	0.817219635922,0.817317698305,86,94,96,98
NodeId:58	0.866001095453,0.866102491825,16,38,71,73,78
NodeId:59	0.502727870379,0.502777171608,10,24,69,92
NodeId:6	0.691952774787,0.692028038537,15,22,58,80
NodeId:60	0.547752790519,0.547811921708,14,49,53,56,65
NodeId:61	0.733545478391,0.733622093092,18,20,6,9,99
NodeId:62	1.01745022902,1.01757432612,11,22,33,91
NodeId:63	1.72470811764,1.72493007831,3,64,65,72
NodeId:64	1.01010481711,1.01022734019,27,28,3,31,33,39,78
NodeId:65	0.988872571133,0.988990919406,27,88
NodeId:66	1.01116710244,1.01128510069,19,72,8,81,83,98
NodeId:67	0.695646836884,0.69572308337,2,26,30,31,32,45
NodeId:68	0.891873871579,0.89198323872,1,19,28,40,6,81,85
NodeId:69	0.882007948,0.882108025362,12,22,42,46,55,72,88
NodeId:7	0.999152891438,0.999277584285,12,21,38,57,93
NodeId:70	1.20482918037,1.20498482611,20,63,99
NodeId:71	1.5105912202,1.51079241782,15,16,45,84,97
NodeId:72	1.9287434014,1.9290021417,10,49,51,92,93,95
NodeId:73	0.538930765443,0.538982974348,41,50,51,84,92
NodeId:74	0.432462495482,0.432501675773,35,54,84
NodeId:75	0.434953087865,0.434994225122,29,34,37,51,54,65,85,91
NodeId:76	0.894084027965,0.894197808002,9
NodeId:77	0.630627295159,0.630693632361,0,32,37,40,41,44,5,69,79,83,85,86,87
NodeId:78	1.63259178964,1.63280190613,13,19,34,82
NodeId:79	0.984522723849,0.984639857813,0,26,43,74,90
NodeId:8	0.344882279369,0.344907645099,13,41,59,87
NodeId:80	1.18377215609,1.18391729369,31,79
NodeId:81	0.587180873008,0.587239369449,21,26,5,78,93,96
NodeId:82	0.676527377386,0.676609069864,2,23,24,32,52,53
NodeId:83	1.27117212249,1.27133156174,1,10,18,27,29,4,70
NodeId:84	1.06162268986,1.06175114318,21,9
NodeId:85	0.693960156088,0.694039241399,32,54,57,64,69,90,99
NodeId:86	1.33008221845,1.33025445113,11,60,71,95
NodeId:87	0.485763679625,0.485806024512,19,20,27,30,47,54,63,8
NodeId:88	1.26729385106,1.26746098118,21,26,44,50,55,82
NodeId:89	0.579082920308,0.579141765464,16,32,35,38,40,57,58
NodeId:9	1.66815715619,1.66837658601,33,39,41,43,51,69,80
NodeId:90	0.917041457986,0.917154187818,1,26,52,93,96
NodeId:91	0.748236864072,0.748318102804,12,24,66,81,95
NodeId:92	1.61269564318,1.61290303887,22,34,39,57
NodeId:93	0.956000820535,0.956119645205,15,43,66,75
NodeId:94	1.0555952987,1.05572613767,17,20,4,90
NodeId:95	1.38772295949,1.38790492457,76,88
NodeId:96	0.812194323898,0.812285079912,12,13,24,31,60,74
NodeId:97	1.07002562207,1.07016672268,37,50,62,89
NodeId:98	1.12390327853,1.12403431071,13,15,28,49,5,66,92,94
NodeId:99	1.18057667985,1.18071716643,1,83
