0	0.926923076923,1.0,34,50,77,79
1	1.38571428571,1.0,0,68,83,90,99
10	0.995238095238,1.0,24,55,59,72,83
11	0.65,1.0,62,86
12	1.44285714286,1.0,35,36,54,69,7,91,96
13	1.14166666667,1.0,53,78,8,96,98
14	0.55,1.0,47,60
15	1.475,1.0,0,26,6,71,93,98
16	0.692857142857,1.0,58,71,89
17	0.733333333333,1.0,44,94
18	1.45238095238,1.0,17,24,29,35,45,48,61,83
19	0.977380952381,1.0,55,66,68,78,87
2	1.40119047619,1.0,32,33,49,5,53,67,82
20	1.43333333333,1.0,36,50,61,70,87,94
21	2.62777777778,1.0,21,28,43,7,81,84,88
22	1.18571428571,1.0,55,6,62,69,92
23	0.766666666667,1.0,26,29,82
24	1.58015873016,1.0,12,4,43,5,59,82,91,96
25	1.02619047619,1.0,13,22,28,55
26	1.05,1.0,67,79,81,88,90
27	1.63571428571,1.0,19,32,52,64,65,83,87
28	1.09642857143,1.0,11,12,26,64,68,98
29	0.942857142857,1.0,31,49,56,75,83
3	0.667857142857,1.0,32,63,64
30	1.15,1.0,3,36,38,67,87
31	2.47619047619,1.0,2,29,39,49,52,64,67,80,96
32	1.29597069597,1.0,13,27,67,77,82,85,89
33	1.08571428571,1.0,13,19,62,64,9
34	0.9,1.0,36,75,78,92
35	0.82619047619,1.0,13,74,89
36	1.075,1.0,14,29,31,42,56
37	1.63525641026,1.0,1,19,44,75,77,97
38	1.58571428571,1.0,10,24,44,51,58,7,89
39	1.41071428571,1.0,14,17,48,49,64,9,92
4	0.820634920635,1.0,10,43,83,94
40	0.905494505495,1.0,11,37,68,77,89
41	1.27811355311,1.0,17,38,73,77,8,9
42	0.792857142857,1.0,3,4,69
43	0.942857142857,1.0,39,79,9,93
44	0.84358974359,1.0,14,41,77,88
45	1.91666666667,1.0,16,19,3,41,42,51,67,71
46	0.917857142857,1.0,31,4,50,69
47	0.6,1.0,15,32,87
48	0.15,1.0
49	1.15952380952,1.0,11,31,41,60,72,98
5	0.71858974359,1.0,47,77,81,98
50	1.05238095238,1.0,12,5,73,88,97
51	1.07023809524,1.0,11,55,72,73,75,9
52	1.21666666667,1.0,16,18,47,82,90
53	0.808333333333,1.0,17,45,60,82
54	1.00119047619,1.0,31,74,75,85,87
55	0.745238095238,1.0,12,24,69,88
56	0.711111111111,1.0,33,43,60
57	0.885714285714,1.0,7,85,89,92
58	1.10238095238,1.0,33,45,55,6,89
59	0.65,1.0,37,8
6	0.927380952381,1.0,10,11,32,61,68
60	0.566666666667,1.0,86,96
61	1.11785714286,1.0,18,36,48,5,51
62	1.24285714286,1.0,14,18,31,35,55,97
63	2.23333333333,1.0,17,2,25,70,87
64	1.16785714286,1.0,26,35,52,63,85
65	1.25,1.0,22,35,53,60,63,75
66	1.35,1.0,0,35,41,91,93,98
67	0.963492063492,1.0,10,11,12,16,43
68	0.961111111111,1.0,27,39,43,50
69	1.22097069597,1.0,32,54,59,77,85,9
7	1.15,1.0,20,34,40
70	1.26785714286,1.0,15,27,31,42,47,83
71	1.675,1.0,32,37,39,40,51,58,86
72	2.11785714286,1.0,1,17,22,28,40,63,66,69
73	0.8,1.0,40,47,58
74	0.516666666667,1.0,79,96
75	0.525,1.0,36,93
76	0.85,1.0,13,95
77	0.858333333333,1.0,34,36,54
78	2.27619047619,1.0,10,34,46,53,58,64,81
79	1.25192307692,1.0,15,17,48,77,80
8	0.441666666667,1.0,66,87
80	1.60396825397,1.0,10,16,30,43,56,6,9
81	0.802380952381,1.0,5,66,68,91
82	0.566666666667,1.0,78,88
83	1.38525641026,1.0,22,35,45,66,77,99
84	1.41666666667,1.0,30,49,71,73,74
85	0.762637362637,1.0,12,31,68,75,77
86	1.7047008547,1.0,29,3,33,4,43,45,57,77
87	0.726923076923,1.0,18,77,8
88	1.29285714286,1.0,65,69,95
89	0.942857142857,1.0,11,42,48,97
9	2.13571428571,1.0,24,5,61,76,84
90	1.02063492063,1.0,43,45,79,85,94
91	1.025,1.0,32,35,52,62,75
92	2.04166666667,1.0,19,23,27,39,59,72,73,98
93	1.02619047619,1.0,24,7,72,81,90
94	1.16785714286,1.0,20,24,57,98
95	1.5,1.0,15,30,53,72,86,91
96	1.21666666667,1.0,0,56,57,81,90
97	1.0,1.0,15,22,37,71
98	1.58571428571,1.0,12,14,38,5,56,57,66
99	1.77619047619,1.0,17,23,36,42,61,70,85
